Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,182.95836799845628,183.02545241393943,181.74126503183305,181.8754338627994,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,182.6612798727451,183.514210298174,182.09585408510122,182.26835686777224,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,180.6774978720285,182.48877709007408,180.49541160143133,182.4312761625171,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,180.36124277046497,180.61041345654536,179.46997839333147,180.29415835498182,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,179.88206837415663,180.9745859977397,179.6328976880763,180.246240915351,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,179.34539305029128,180.07603816978227,178.2864176344498,179.50831234503613,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,177.51973860035645,178.94288655739226,176.91118711704482,178.2337084508559,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,176.29784388977015,177.74495056662138,175.85700344516644,177.03577246008498,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,175.38262079282117,175.57908229530761,174.54406559928157,174.97532255595908,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,176.2211759863608,176.3361778414748,174.4769811837984,174.54406559928157,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,174.42906374416754,176.0199227399113,174.4194802562414,175.4065795126366,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,175.1382418507039,175.57908229530761,174.0936416667517,174.22781049771805,5274935.0
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,175.28199416959643,175.33949509715345,173.57622915361796,174.65906745439557,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,174.89865465254974,176.24034296221313,174.57281606306006,175.77075205383093,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,172.55070011063881,174.97532255595908,172.28236244870612,174.4194802562414,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,172.74236986916213,174.5632325751339,171.2377622647539,173.26946170510135,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,177.093273387642,177.208275242756,174.66759675864986,175.23407672996558,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,175.55991531945526,178.5499635524194,175.55991531945526,177.19869175482987,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,172.8094542846453,173.07779194657797,169.3402316553728,172.90528916390696,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,170.6531695012577,173.14487636206115,170.02065929813068,172.33027988833695,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,169.21564631233264,170.99817506659974,168.36271588690377,169.86732349131202,4901810.0
2017-11-28,174.89,176.77,172.9911,176.57,6048963.0,0.0,1.0,166.76825084425485,168.5609451754756,164.95753421364043,168.37023301257977,6048963.0
2017-11-27,172.87,174.91,172.38,174.16,4539428.0,0.0,1.0,164.842057999007,166.78732206054443,164.37481319991224,166.0721514496851,4539428.0
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,0.0,1.0,164.11735178000288,165.0613769863372,163.76691818068178,164.3271351591883,1853587.0
2017-11-22,172.89,172.94,172.04,172.06,4132897.0,0.0,1.0,164.8611292152966,164.90880725602054,164.05060252298932,164.06967373927893,4132897.0
2017-11-21,170.53,172.86,170.15,172.86,6228970.0,0.0,1.0,162.61072569312586,164.83252239086224,162.2483725836238,164.83252239086224,6228970.0
2017-11-20,168.14,170.69,167.8,170.45,4697484.0,0.0,1.0,160.33171534652072,162.76329542344251,160.00750466959784,162.5344408279675,4697484.0
2017-11-17,167.0,168.43,166.06,167.74,4530027.0,0.0,1.0,159.24465601801452,160.6082479827197,158.34830885240413,159.95029102072908,4530027.0
2017-11-16,166.68,167.76,166.06,167.5,4585477.0,0.0,1.0,158.9395165573812,159.96936223701866,158.34830885240413,159.7214364252541,4585477.0
2017-11-15,167.44,167.44,165.35,165.47,5534520.0,0.0,1.0,159.66422277638534,159.66422277638534,157.67128067412395,157.78570797186146,5534520.0
2017-11-14,163.62,168.14,163.15,168.06,10281508.0,0.0,1.0,156.02162046507507,160.33171534652072,155.57344688226988,160.2554304813624,10281508.0
2017-11-13,164.64,166.64,164.25,165.35,7175307.0,0.0,1.0,156.99425249584377,158.90137412480203,156.62236377819693,157.67128067412395,7175307.0
2017-11-10,163.34,164.58,162.93,164.11,3554220.0,0.0,1.0,155.7546234370209,156.93703884697504,155.36366350308447,156.48886526416985,3554220.0
2017-11-09,164.1,164.135,162.28,163.27,3381255.0,0.0,1.0,156.47932965602504,156.51270428453182,154.74384897367304,155.68787418000738,3381255.0
2017-11-08,163.34,164.68,163.27,164.05,2661622.0,0.0,1.0,155.7546234370209,157.03239492842295,155.68787418000738,156.4316516153011,2661622.0
2017-11-07,164.09,164.4,162.83,163.66,3198129.0,0.0,1.0,156.46979404788027,156.76539790036878,155.26830742163656,156.05976289765422,3198129.0
2017-11-06,164.8,164.88,163.01,164.22,3275219.0,0.0,1.0,157.14682222616045,157.22310709131875,155.4399483682428,156.59375695376255,3275219.0
2017-11-03,163.01,164.99,162.68,164.39,3080591.0,0.0,1.0,155.4399483682428,157.32799878091149,155.12527329946468,156.75586229222398,3080591.0
2017-11-02,165.01,165.01,160.53,162.71,6517095.0,0.0,1.0,157.34706999720106,157.34706999720106,153.07511754833456,155.15388012389906,6517095.0
2017-11-01,166.42,166.74,165.12,165.38,3568321.0,0.0,1.0,158.69159074561662,158.99673020624996,157.45196168679377,157.69988749855833,3568321.0
2017-10-31,165.4,166.34,165.1,165.78,2922416.0,0.0,1.0,157.71895871484793,158.6153058804583,157.43289047050416,158.08131182435,2922416.0
2017-10-30,166.99,166.99,164.88,165.31,3906231.0,0.0,1.0,159.23512040986975,159.23512040986975,157.22310709131875,157.6331382415448,3906231.0
2017-10-27,166.8,167.75,166.46,167.34,3720385.0,0.0,1.0,159.05394385511872,159.95982662887388,158.7297331781958,159.56886669493744,3720385.0
2017-10-26,166.39,167.94,166.1068,167.65,3750129.0,0.0,1.0,158.66298392118225,160.1410031836249,158.39293549852175,159.86447054742595,3750129.0
2017-10-25,166.11,166.95,165.3803,166.09,2945980.0,0.0,1.0,158.3959868931281,159.19697797729054,157.70017356680268,158.3769156768385,2945980.0
2017-10-24,164.67,166.46,164.65,166.03,3686538.0,0.0,1.0,157.02285932027814,158.7297331781958,157.00378810398857,158.31970202796978,3686538.0
2017-10-23,164.04,166.265,163.75,164.74,3995025.0,0.0,1.0,156.4221160071563,158.54378881937234,156.14558337095735,157.0896085772917,3995025.0
2017-10-20,163.97,164.15,162.74,163.43,4166481.0,0.0,1.0,156.35536675014276,156.52700769674902,155.18248694833343,155.84044391032404,4166481.0
2017-10-19,163.5,164.11,162.77,163.24,2675062.0,0.0,1.0,155.90719316733757,156.48886526416985,155.2110937727678,155.659267355573,2675062.0
2017-10-18,163.42,164.24,163.35,163.45,2758595.0,0.0,1.0,155.83090830217924,156.61282817005213,155.76415904516568,155.85951512661362,2758595.0
2017-10-17,164.22,164.92,161.5111,163.35,4189096.0,0.0,1.0,156.59375695376255,157.26124952389793,154.01065606342004,155.76415904516568,4189096.0
2017-10-16,164.47,164.67,163.26,164.22,2586716.0,0.0,1.0,156.83214715738234,157.02285932027814,155.67833857186258,156.59375695376255,2586716.0
2017-10-13,164.92,166.0699,164.35,164.47,3258984.0,0.0,1.0,157.26124952389793,158.35774910446747,156.71771985964483,156.83214715738234,3258984.0
2017-10-12,165.41,165.41,164.47,164.59,3397775.0,0.0,1.0,157.7284943229927,157.7284943229927,156.83214715738234,156.94657445511982,3397775.0
2017-10-11,165.19,165.865,164.45,165.25,2319274.0,0.0,1.0,157.5187109438073,158.16236449358072,156.81307594109273,157.57592459267605,2319274.0
2017-10-10,165.7,165.8,164.64,165.16,2755398.0,0.0,1.0,158.00502695919164,158.10038304063957,156.99425249584377,157.49010411937292,2755398.0
2017-10-09,166.14,166.63,165.42,165.71,2131587.0,0.0,1.0,158.42459371756246,158.89183851665723,157.73802993113748,158.01456256733644,2131587.0
2017-10-06,166.18,166.63,165.74,165.85,2916121.0,0.0,1.0,158.46273615014164,158.89183851665723,158.04316939177082,158.14806108136352,2916121.0
